borrower_id,age,occupation,monthly_income,existing_loan_history,loan_history_code,debt_to_income_ratio,loan_size,telecom_usage_score,mobile_wallet_activity,digital_purchase_frequency,psychometric_score,gender,province,repayment_score
PK-01470,21,Business Owner,45104,Delayed Repayment History,2,0.424,378002,0.741,0.81,12,77.1,Male,Punjab,67.44
PK-01471,39,Salaried,57524,No Previous Loan,0,0.111,748250,0.525,0.628,1,55.3,Male,Punjab,57.4
PK-01472,48,Self-Employed,42062,No Previous Loan,0,0.152,294320,0.408,0.295,0,42.8,Male,Punjab,49.95
PK-01473,38,Business Owner,79152,No Previous Loan,0,0.279,480347,0.595,0.747,7,67.3,Female,Punjab,69.16
PK-01474,18,Salaried,52906,Delayed Repayment History,2,0.203,668509,0.788,0.729,8,52.2,Female,Punjab,46.39
PK-01475,36,Self-Employed,121999,Delayed Repayment History,2,0.439,689340,0.68,0.384,5,69.0,Male,Punjab,64.45
PK-01476,36,Business Owner,112104,No Previous Loan,0,0.01,605427,0.799,0.383,4,28.3,Female,Punjab,64.58
PK-01477,57,Business Owner,54907,Previous Default,3,0.413,367049,0.553,0.61,0,58.1,Female,Punjab,45.36
PK-01478,24,Salaried,30733,Good Repayment History,1,0.253,408674,0.672,0.483,2,51.6,Female,Punjab,39.55
PK-01479,34,Salaried,77132,Previous Default,3,0.353,272906,0.696,0.322,1,43.9,Male,Khyber Pakhtunkhwa,44.47
PK-01480,54,Self-Employed,58109,No Previous Loan,0,0.128,513637,0.507,0.466,2,38.9,Male,Punjab,58.58
PK-01481,42,Daily Wage Worker,35140,Good Repayment History,1,0.234,407129,0.251,0.697,2,51.6,Female,Punjab,57.62
PK-01482,43,Daily Wage Worker,68366,Good Repayment History,1,0.229,370828,0.521,0.467,0,41.7,Male,Punjab,38.37
PK-01483,39,Self-Employed,38215,No Previous Loan,0,0.101,457840,0.389,0.734,2,10.2,Male,Sindh,54.19
PK-01484,41,Freelancer,46242,No Previous Loan,0,0.051,478597,0.823,0.1,0,38.7,Male,Punjab,57.46
PK-01485,45,Business Owner,110927,Delayed Repayment History,2,0.302,383178,0.313,0.3,3,41.2,Male,Sindh,30.31
PK-01486,30,Other,34802,No Previous Loan,0,0.092,415454,0.462,0.506,4,56.3,Male,Sindh,44.13
PK-01487,46,Salaried,105028,Good Repayment History,1,0.158,391218,0.683,0.557,2,41.4,Female,Punjab,68.03
PK-01488,25,Business Owner,56522,No Previous Loan,0,0.075,451612,0.612,0.397,2,57.6,Male,Punjab,44.0
PK-01489,41,Business Owner,86543,No Previous Loan,0,0.1,524990,0.723,0.487,4,44.4,Male,Balochistan,83.85
PK-01490,39,Self-Employed,55333,Good Repayment History,1,0.13,767940,0.612,0.233,1,69.7,Female,Punjab,63.99
PK-01491,32,Salaried,24662,No Previous Loan,0,0.081,503863,0.659,0.347,1,60.4,Male,Punjab,26.93
PK-01492,37,Salaried,56810,Previous Default,3,0.313,679503,0.512,0.531,0,53.0,Male,Sindh,26.86
PK-01493,32,Self-Employed,89707,Delayed Repayment History,2,0.305,443073,0.611,0.711,18,61.5,Female,Punjab,60.34
PK-01494,28,Freelancer,62906,Previous Default,3,0.327,412159,0.525,0.553,4,66.9,Female,Khyber Pakhtunkhwa,34.39
PK-01495,34,Freelancer,57136,No Previous Loan,0,0.131,523023,0.549,0.678,8,58.6,Female,Punjab,56.86
PK-01496,27,Salaried,51407,No Previous Loan,0,0.199,472367,0.578,0.579,4,59.5,Male,Punjab,71.34
PK-01497,41,Daily Wage Worker,54377,No Previous Loan,0,0.246,580487,0.596,0.677,0,24.8,Male,Sindh,41.25
PK-01498,27,Self-Employed,57730,No Previous Loan,0,0.092,628885,0.719,0.292,0,49.7,Female,Khyber Pakhtunkhwa,46.44
PK-01499,44,Other,56037,Good Repayment History,1,0.433,516890,0.421,0.333,2,45.5,Female,Punjab,36.89
PK-01500,27,Salaried,62315,No Previous Loan,0,0.154,461216,0.624,0.776,6,74.3,Male,Sindh,74.62
PK-01501,32,Daily Wage Worker,36158,Delayed Repayment History,2,0.341,441672,0.638,0.629,3,50.0,Female,Punjab,38.25
PK-01502,32,Daily Wage Worker,78133,No Previous Loan,0,0.261,409585,0.866,0.817,11,48.3,Male,Sindh,72.77
PK-01503,50,Daily Wage Worker,31501,Good Repayment History,1,0.123,758005,0.631,0.466,2,64.5,Male,Punjab,62.77
PK-01504,41,Daily Wage Worker,57631,No Previous Loan,0,0.101,431386,0.447,0.55,2,34.1,Male,Punjab,60.29
PK-01505,36,Self-Employed,108573,No Previous Loan,0,0.048,669553,0.474,0.707,15,58.6,Male,Balochistan,75.66
PK-01506,42,Freelancer,60717,No Previous Loan,0,0.01,657413,0.608,0.507,1,27.2,Female,Sindh,63.02
PK-01507,18,Business Owner,75476,No Previous Loan,0,0.177,1089893,0.49,0.484,0,47.5,Male,Punjab,36.43
PK-01508,37,Self-Employed,84120,Previous Default,3,0.42,650321,0.603,0.796,6,51.9,Female,Balochistan,40.86
PK-01509,57,Other,47091,Good Repayment History,1,0.252,333072,0.564,0.56,0,79.5,Male,Punjab,72.7
PK-01510,39,Self-Employed,36401,No Previous Loan,0,0.178,583681,0.648,0.362,2,53.7,Female,Sindh,26.67
PK-01511,38,Self-Employed,64367,Good Repayment History,1,0.025,358814,0.799,0.672,1,44.3,Male,Sindh,85.27
PK-01512,43,Daily Wage Worker,80270,Delayed Repayment History,2,0.403,376642,0.607,0.544,2,56.8,Female,Khyber Pakhtunkhwa,51.65
PK-01513,46,Self-Employed,86640,No Previous Loan,0,0.015,494934,0.737,0.812,6,81.5,Male,Punjab,83.44
PK-01514,19,Salaried,57762,Good Repayment History,1,0.27,406187,0.584,0.86,11,25.9,Female,Sindh,71.11
PK-01515,22,Self-Employed,80789,Good Repayment History,1,0.053,730187,0.754,0.52,4,70.9,Female,Sindh,73.43
PK-01516,40,Daily Wage Worker,42808,No Previous Loan,0,0.148,569822,0.575,0.661,1,62.5,Male,Punjab,34.06
PK-01517,31,Daily Wage Worker,43532,Good Repayment History,1,0.138,601258,0.499,0.245,0,54.9,Female,Khyber Pakhtunkhwa,52.85
PK-01518,50,Salaried,57168,No Previous Loan,0,0.123,430498,0.432,0.385,2,52.8,Male,Punjab,58.41
PK-01519,35,Business Owner,102504,No Previous Loan,0,0.063,435216,0.901,0.836,45,82.0,Female,Punjab,84.24
PK-01520,19,Business Owner,62149,No Previous Loan,0,0.125,621552,0.511,0.671,7,69.1,Male,Sindh,38.85
PK-01521,26,Freelancer,50890,No Previous Loan,0,0.088,512339,0.773,0.649,6,41.2,Female,Punjab,74.11
PK-01522,18,Freelancer,78888,Previous Default,3,0.353,284081,0.91,0.404,1,59.2,Female,Khyber Pakhtunkhwa,45.58
PK-01523,35,Other,50651,Good Repayment History,1,0.301,379099,0.413,0.484,1,76.5,Female,Punjab,54.29
PK-01524,36,Self-Employed,84778,No Previous Loan,0,0.196,412233,0.615,0.733,19,67.4,Male,Punjab,61.0
PK-01525,34,Self-Employed,86365,Good Repayment History,1,0.334,280980,0.517,0.732,13,63.2,Male,Sindh,70.01
PK-01526,48,Business Owner,86509,No Previous Loan,0,0.087,638406,0.365,0.539,6,39.0,Female,Khyber Pakhtunkhwa,57.26
PK-01527,49,Self-Employed,62689,Good Repayment History,1,0.171,425807,0.59,0.386,1,93.9,Male,Sindh,80.23
PK-01528,36,Self-Employed,43980,Delayed Repayment History,2,0.334,351578,0.283,0.363,1,67.9,Female,Punjab,25.34
PK-01529,18,Salaried,37871,No Previous Loan,0,0.061,464534,0.901,0.675,3,83.8,Male,Punjab,72.0
PK-01530,44,Salaried,82627,Good Repayment History,1,0.057,333145,0.606,0.513,1,63.7,Male,Sindh,80.51
PK-01531,43,Daily Wage Worker,55590,Good Repayment History,1,0.139,333145,0.872,0.47,1,57.3,Female,Khyber Pakhtunkhwa,75.22
PK-01532,41,Salaried,47172,Previous Default,3,0.359,436847,0.704,0.52,1,47.0,Male,Sindh,34.58
PK-01533,47,Business Owner,102130,Good Repayment History,1,0.211,695696,0.708,0.619,13,74.9,Male,Sindh,73.24
PK-01534,27,Daily Wage Worker,44960,No Previous Loan,0,0.188,605937,0.544,0.562,12,80.0,Male,Punjab,54.17
PK-01535,57,Salaried,89244,Good Repayment History,1,0.01,638526,0.796,0.627,6,75.4,Female,Punjab,66.69
PK-01536,29,Self-Employed,141512,No Previous Loan,0,0.01,834450,0.682,0.899,45,95.9,Male,Punjab,75.19
PK-01537,45,Self-Employed,86843,Previous Default,3,0.431,495684,0.687,0.33,1,61.2,Female,Punjab,43.23
PK-01538,22,Business Owner,61149,No Previous Loan,0,0.116,692646,0.634,0.721,7,48.3,Male,Punjab,64.55
PK-01539,29,Self-Employed,86250,No Previous Loan,0,0.068,431137,0.568,0.606,12,63.1,Male,Sindh,80.14
PK-01540,52,Business Owner,61187,Good Repayment History,1,0.162,434056,0.307,0.57,7,70.4,Male,Punjab,60.27
PK-01541,35,Self-Employed,150172,Delayed Repayment History,2,0.316,588262,0.513,0.388,4,57.1,Male,Punjab,55.34
PK-01542,46,Salaried,43610,No Previous Loan,0,0.154,447900,0.651,0.466,3,56.0,Male,Khyber Pakhtunkhwa,41.83
PK-01543,40,Salaried,77386,Good Repayment History,1,0.054,109182,0.702,0.445,3,62.1,Male,Punjab,91.93
PK-01544,37,Self-Employed,69982,No Previous Loan,0,0.01,369751,0.716,0.354,0,66.0,Male,Sindh,81.61
PK-01545,51,Self-Employed,60991,Delayed Repayment History,2,0.306,361858,0.472,0.763,6,60.0,Female,Khyber Pakhtunkhwa,64.27
PK-01546,35,Other,45909,Previous Default,3,0.492,296633,0.58,0.775,11,60.1,Male,Khyber Pakhtunkhwa,44.71
PK-01547,21,Salaried,92684,No Previous Loan,0,0.044,654826,0.639,0.363,1,69.3,Male,Khyber Pakhtunkhwa,71.15
PK-01548,30,Business Owner,102398,Good Repayment History,1,0.356,308084,0.672,0.529,6,71.7,Male,Khyber Pakhtunkhwa,72.7
PK-01549,43,Business Owner,84368,No Previous Loan,0,0.161,1101316,0.447,0.245,0,51.4,Male,Punjab,32.16
PK-01550,41,Freelancer,129344,No Previous Loan,0,0.034,509756,0.547,0.545,3,32.1,Female,Sindh,85.1
PK-01551,23,Business Owner,75492,Good Repayment History,1,0.016,387541,0.731,0.878,31,42.6,Female,Khyber Pakhtunkhwa,86.57
PK-01552,31,Salaried,82122,Good Repayment History,1,0.234,353493,0.463,0.394,1,66.1,Female,Punjab,67.68
PK-01553,32,Business Owner,53480,Delayed Repayment History,2,0.244,464528,0.545,0.604,10,46.1,Male,Sindh,37.2
PK-01554,34,Self-Employed,44032,Good Repayment History,1,0.146,357259,0.482,0.315,2,60.8,Male,Punjab,70.85
PK-01555,25,Daily Wage Worker,52358,Good Repayment History,1,0.121,427136,0.84,0.649,9,56.5,Female,Sindh,70.33
PK-01556,32,Salaried,71273,Good Repayment History,1,0.06,488345,0.69,0.919,31,59.5,Female,Punjab,69.35
PK-01557,31,Freelancer,125717,Good Repayment History,1,0.108,636579,0.66,0.555,18,68.1,Male,Sindh,54.58
PK-01558,45,Business Owner,69664,No Previous Loan,0,0.047,566217,0.784,0.78,7,76.8,Male,Punjab,83.56
PK-01559,45,Business Owner,112676,Delayed Repayment History,2,0.211,687029,0.668,0.336,2,59.9,Female,Punjab,49.24
PK-01560,36,Salaried,60114,Good Repayment History,1,0.126,793543,0.308,0.513,6,41.7,Female,Punjab,42.71
PK-01561,34,Freelancer,77915,Good Repayment History,1,0.33,423333,0.56,0.639,7,63.6,Male,Sindh,65.62
PK-01562,39,Freelancer,81669,No Previous Loan,0,0.151,397145,0.791,0.29,1,70.0,Male,Khyber Pakhtunkhwa,64.47
PK-01563,30,Business Owner,83268,No Previous Loan,0,0.072,785573,0.668,0.857,15,24.1,Female,Punjab,60.95
PK-01564,27,Self-Employed,50562,Delayed Repayment History,2,0.165,533881,0.407,0.723,3,46.0,Female,Punjab,46.93
PK-01565,29,Salaried,55639,No Previous Loan,0,0.153,466790,0.588,0.521,5,58.0,Male,Sindh,60.49
PK-01566,32,Self-Employed,46214,No Previous Loan,0,0.277,460483,0.426,0.616,5,49.5,Male,Sindh,36.67
PK-01567,27,Daily Wage Worker,47345,Delayed Repayment History,2,0.477,305627,0.699,0.805,9,59.1,Male,Punjab,42.8
PK-01568,39,Self-Employed,26491,Good Repayment History,1,0.192,567540,0.426,0.33,0,45.2,Female,Sindh,24.65
PK-01569,45,Freelancer,45254,No Previous Loan,0,0.144,583936,0.74,0.502,1,71.3,Female,Khyber Pakhtunkhwa,68.05
PK-01570,23,Daily Wage Worker,54832,No Previous Loan,0,0.01,523508,0.528,0.813,14,58.3,Male,Punjab,75.58
PK-01571,38,Freelancer,80607,No Previous Loan,0,0.109,496019,0.711,0.757,15,31.0,Male,Punjab,62.82
PK-01572,36,Freelancer,33699,Delayed Repayment History,2,0.393,218639,0.332,0.412,1,67.1,Female,Punjab,41.85
PK-01573,41,Business Owner,108647,Delayed Repayment History,2,0.331,704526,0.955,0.53,1,72.3,Male,Balochistan,61.95
PK-01574,38,Business Owner,59109,Good Repayment History,1,0.287,498849,0.636,0.418,6,57.2,Male,Khyber Pakhtunkhwa,40.1
PK-01575,24,Salaried,52348,No Previous Loan,0,0.166,617859,0.749,0.501,4,28.8,Male,Punjab,48.15
PK-01576,26,Daily Wage Worker,53929,No Previous Loan,0,0.01,326308,0.733,0.816,8,71.4,Male,Balochistan,80.87
PK-01577,38,Other,39101,Delayed Repayment History,2,0.293,373000,0.502,0.391,1,40.5,Female,Punjab,31.17
PK-01578,47,Self-Employed,116717,No Previous Loan,0,0.163,574866,0.612,0.43,6,54.6,Male,Sindh,66.6
PK-01579,18,Daily Wage Worker,41109,No Previous Loan,0,0.01,265992,0.642,0.537,2,47.6,Female,Khyber Pakhtunkhwa,52.87
PK-01580,41,Other,65053,No Previous Loan,0,0.102,332164,0.431,0.477,0,35.8,Female,Khyber Pakhtunkhwa,67.56
PK-01581,49,Business Owner,129051,No Previous Loan,0,0.034,762686,0.654,0.887,13,60.7,Male,Sindh,81.44
PK-01582,36,Freelancer,92593,No Previous Loan,0,0.01,1200000,0.585,0.921,45,62.5,Female,Punjab,41.64
PK-01583,43,Business Owner,117670,Delayed Repayment History,2,0.368,814256,0.887,0.452,4,62.0,Male,Punjab,53.27
PK-01584,31,Self-Employed,53774,No Previous Loan,0,0.035,317008,0.435,0.464,5,54.2,Female,Punjab,51.27
PK-01585,37,Salaried,44673,No Previous Loan,0,0.304,437798,0.621,0.551,2,45.2,Male,Khyber Pakhtunkhwa,58.88
PK-01586,22,Self-Employed,56276,No Previous Loan,0,0.084,425640,0.687,0.917,45,80.4,Female,Punjab,72.76
PK-01587,18,Daily Wage Worker,44343,Good Repayment History,1,0.291,467776,0.425,0.805,12,59.6,Male,Sindh,60.3
PK-01588,47,Self-Employed,45393,Good Repayment History,1,0.344,433461,0.516,0.373,1,42.3,Male,Punjab,38.82
PK-01589,28,Daily Wage Worker,51539,Good Repayment History,1,0.217,356596,0.702,0.598,10,64.1,Male,Punjab,71.78
PK-01590,33,Business Owner,97785,Good Repayment History,1,0.165,763246,0.621,0.343,1,65.2,Male,Punjab,73.52
PK-01591,25,Freelancer,53481,Delayed Repayment History,2,0.385,418817,0.641,0.198,1,67.0,Male,Sindh,36.25
PK-01592,24,Self-Employed,64877,No Previous Loan,0,0.245,529266,0.36,0.673,4,57.6,Male,Punjab,45.52
PK-01593,36,Self-Employed,71229,Good Repayment History,1,0.201,519827,0.526,0.553,4,48.8,Male,Punjab,58.17
PK-01594,31,Salaried,74151,Previous Default,3,0.336,474206,0.369,0.573,2,37.4,Male,Punjab,27.79
PK-01595,41,Self-Employed,91813,Good Repayment History,1,0.03,635080,0.342,0.43,8,51.2,Female,Balochistan,67.85
PK-01596,42,Salaried,181265,No Previous Loan,0,0.101,1017483,0.646,0.489,8,36.1,Male,Sindh,62.79
PK-01597,41,Salaried,70619,Good Repayment History,1,0.081,692512,0.461,0.854,18,63.1,Male,Sindh,66.08
PK-01598,40,Salaried,53084,Good Repayment History,1,0.27,618697,0.85,0.508,2,32.5,Female,Khyber Pakhtunkhwa,49.43
PK-01599,53,Business Owner,45114,Good Repayment History,1,0.307,252278,0.225,0.251,0,51.3,Female,Sindh,29.83
PK-01600,28,Self-Employed,40438,No Previous Loan,0,0.169,506338,0.613,0.456,2,67.7,Male,Sindh,69.58
PK-01601,37,Self-Employed,53726,Delayed Repayment History,2,0.31,335785,0.499,0.752,10,53.7,Male,Punjab,52.27
PK-01602,48,Daily Wage Worker,57463,No Previous Loan,0,0.158,478736,0.601,0.41,5,56.8,Male,Punjab,55.83
PK-01603,50,Business Owner,77121,Good Repayment History,1,0.17,783257,0.547,0.642,2,65.6,Male,Punjab,57.57
PK-01604,24,Daily Wage Worker,46624,Delayed Repayment History,2,0.298,292116,0.638,0.389,1,64.9,Female,Khyber Pakhtunkhwa,67.0
PK-01605,35,Business Owner,67274,Good Repayment History,1,0.135,589619,0.863,0.664,13,74.3,Male,Punjab,75.38
PK-01606,51,Salaried,77624,No Previous Loan,0,0.097,471844,0.485,0.507,1,67.5,Female,Punjab,72.15
PK-01607,42,Daily Wage Worker,61243,Good Repayment History,1,0.181,604691,0.668,0.493,4,63.5,Female,Khyber Pakhtunkhwa,69.47
PK-01608,40,Daily Wage Worker,39133,Good Repayment History,1,0.31,395350,0.237,0.237,1,25.9,Female,Punjab,34.12
PK-01609,36,Business Owner,101490,No Previous Loan,0,0.128,573090,0.53,0.726,16,63.5,Male,Sindh,70.11
PK-01610,34,Business Owner,74065,No Previous Loan,0,0.01,569969,0.449,0.605,5,84.3,Female,Sindh,80.98
PK-01611,40,Self-Employed,46002,No Previous Loan,0,0.158,508322,0.693,0.691,9,66.9,Female,Punjab,69.91
PK-01612,35,Business Owner,105260,Good Repayment History,1,0.164,1003254,0.794,0.168,1,74.9,Female,Punjab,76.07
PK-01613,37,Daily Wage Worker,51456,No Previous Loan,0,0.133,480758,0.415,0.294,2,46.8,Male,Punjab,47.58
PK-01614,38,Business Owner,108130,No Previous Loan,0,0.053,765480,0.603,0.404,8,58.9,Male,Sindh,53.36
PK-01615,31,Salaried,88680,No Previous Loan,0,0.085,754577,0.623,0.459,1,68.0,Male,Khyber Pakhtunkhwa,67.61
PK-01616,43,Salaried,61245,Good Repayment History,1,0.328,428425,0.8,0.299,0,64.8,Male,Khyber Pakhtunkhwa,63.89
PK-01617,65,Salaried,56778,Good Repayment History,1,0.151,369766,0.63,0.236,0,69.9,Female,Punjab,63.34
PK-01618,21,Self-Employed,55552,Good Repayment History,1,0.127,520795,0.597,0.628,5,40.0,Female,Punjab,46.83
PK-01619,41,Self-Employed,79845,No Previous Loan,0,0.023,769190,0.697,0.165,2,46.6,Male,Sindh,68.74
PK-01620,31,Daily Wage Worker,41055,No Previous Loan,0,0.021,436753,0.812,0.606,2,36.4,Male,Sindh,73.51
PK-01621,43,Self-Employed,74202,No Previous Loan,0,0.144,407238,0.624,0.707,4,62.6,Male,Punjab,61.62
PK-01622,38,Self-Employed,54627,No Previous Loan,0,0.211,578202,0.704,0.426,0,54.6,Female,Punjab,34.46
PK-01623,45,Self-Employed,49710,No Previous Loan,0,0.056,835292,0.69,0.169,0,54.1,Female,Punjab,50.91
PK-01624,49,Business Owner,64636,No Previous Loan,0,0.145,551891,0.78,0.298,1,47.6,Male,Punjab,53.09
PK-01625,40,Business Owner,102299,Delayed Repayment History,2,0.38,433588,0.693,0.845,19,46.7,Male,Sindh,68.19
PK-01626,48,Business Owner,87534,Good Repayment History,1,0.182,779498,0.532,0.356,1,59.2,Female,Balochistan,73.09
PK-01627,18,Other,38852,No Previous Loan,0,0.12,557560,0.491,0.404,1,73.4,Female,Punjab,47.34
PK-01628,53,Other,68908,Delayed Repayment History,2,0.244,558876,0.435,0.71,14,82.6,Female,Punjab,44.45
PK-01629,41,Daily Wage Worker,74954,Good Repayment History,1,0.225,506331,0.616,0.52,19,83.0,Male,Punjab,81.83
PK-01630,48,Daily Wage Worker,38048,Good Repayment History,1,0.177,419660,0.685,0.687,3,48.9,Male,Punjab,51.16
PK-01631,26,Self-Employed,44440,No Previous Loan,0,0.168,712754,0.306,0.705,4,38.4,Female,Punjab,44.8
PK-01632,30,Business Owner,116829,Delayed Repayment History,2,0.238,750966,0.762,0.457,5,73.9,Male,Punjab,71.56
PK-01633,39,Self-Employed,70819,No Previous Loan,0,0.121,535916,0.433,0.826,15,78.2,Female,Punjab,68.04
PK-01634,38,Daily Wage Worker,41972,Good Repayment History,1,0.294,430630,0.765,0.668,1,63.0,Female,Sindh,66.86
PK-01635,40,Salaried,94677,No Previous Loan,0,0.122,550035,0.588,0.617,3,59.1,Male,Sindh,71.56
PK-01636,48,Salaried,60875,No Previous Loan,0,0.042,500430,0.348,0.377,0,48.2,Male,Sindh,32.84
PK-01637,21,Salaried,66242,No Previous Loan,0,0.01,518791,0.555,0.279,1,67.6,Female,Punjab,65.36
PK-01638,47,Business Owner,94069,Delayed Repayment History,2,0.296,677791,0.551,0.524,2,68.4,Female,Punjab,50.13
PK-01639,38,Freelancer,181580,Previous Default,3,0.505,521040,0.852,0.501,2,66.2,Male,Punjab,74.96
PK-01640,36,Salaried,62492,Good Repayment History,1,0.249,468447,0.646,0.611,0,40.8,Female,Punjab,71.2
PK-01641,24,Business Owner,110225,Good Repayment History,1,0.333,606726,0.76,0.481,4,44.6,Male,Punjab,69.66
PK-01642,42,Self-Employed,65001,Delayed Repayment History,2,0.553,515522,0.418,0.841,8,56.7,Female,Punjab,21.12
PK-01643,18,Daily Wage Worker,43968,No Previous Loan,0,0.105,616864,0.658,0.898,26,72.9,Female,Balochistan,42.34
PK-01644,44,Salaried,62430,Good Repayment History,1,0.235,401534,0.722,0.141,0,72.1,Male,Balochistan,67.36
PK-01645,24,Salaried,78772,Good Repayment History,1,0.166,619120,0.701,0.527,17,52.6,Female,Khyber Pakhtunkhwa,44.69
PK-01646,38,Business Owner,85063,Good Repayment History,1,0.114,707535,0.711,0.638,8,30.8,Female,Sindh,64.62
PK-01647,37,Business Owner,104394,Good Repayment History,1,0.196,638407,0.726,0.808,34,80.5,Female,Sindh,58.2
PK-01648,49,Daily Wage Worker,34678,Good Repayment History,1,0.224,234229,0.49,0.277,0,75.1,Male,Sindh,71.28
PK-01649,36,Business Owner,66099,Good Repayment History,1,0.171,534935,0.638,0.262,1,60.1,Female,Sindh,56.88
PK-01650,31,Other,27461,No Previous Loan,0,0.092,418151,0.832,0.729,3,48.4,Female,Punjab,65.43
PK-01651,33,Self-Employed,77825,No Previous Loan,0,0.099,814618,0.59,0.821,9,54.0,Male,Balochistan,57.92
PK-01652,50,Self-Employed,56352,Delayed Repayment History,2,0.28,653530,0.741,0.691,4,72.0,Male,Sindh,36.15
PK-01653,43,Other,119292,Delayed Repayment History,2,0.271,657956,0.527,0.39,2,68.6,Female,Punjab,43.86
PK-01654,34,Salaried,54988,No Previous Loan,0,0.01,1023852,0.659,0.47,1,50.9,Female,Punjab,47.07
PK-01655,35,Daily Wage Worker,68153,No Previous Loan,0,0.021,604722,0.582,0.35,3,92.4,Male,Khyber Pakhtunkhwa,62.25
PK-01656,23,Salaried,87975,No Previous Loan,0,0.033,519784,0.734,0.528,12,35.5,Female,Khyber Pakhtunkhwa,61.8
PK-01657,41,Business Owner,81411,No Previous Loan,0,0.103,777377,0.543,0.48,4,49.6,Male,Punjab,56.42
PK-01658,21,Salaried,44637,Good Repayment History,1,0.201,425602,0.776,0.443,4,47.8,Female,Punjab,57.46
PK-01659,45,Business Owner,84975,No Previous Loan,0,0.03,709354,0.831,0.603,5,60.7,Male,Punjab,58.95
PK-01660,39,Daily Wage Worker,66641,No Previous Loan,0,0.05,391956,0.771,0.66,4,75.8,Male,Punjab,69.84
PK-01661,60,Salaried,139862,Good Repayment History,1,0.17,541670,0.53,0.532,3,73.7,Female,Punjab,74.19
PK-01662,27,Salaried,40031,No Previous Loan,0,0.074,304908,0.817,0.484,0,58.3,Female,Punjab,69.54
PK-01663,37,Self-Employed,70285,Delayed Repayment History,2,0.216,517383,0.574,0.649,5,37.8,Male,Punjab,49.99
PK-01664,55,Self-Employed,56143,Good Repayment History,1,0.245,395020,0.773,0.77,7,72.4,Female,Punjab,81.12
PK-01665,49,Self-Employed,62423,Good Repayment History,1,0.056,1030372,0.745,0.376,0,40.4,Female,Khyber Pakhtunkhwa,40.15
PK-01666,31,Other,95804,No Previous Loan,0,0.01,845259,0.606,0.639,19,53.3,Female,Punjab,51.71
PK-01667,40,Salaried,50815,No Previous Loan,0,0.209,402625,0.523,0.338,1,56.1,Male,Punjab,49.79
PK-01668,38,Self-Employed,40116,No Previous Loan,0,0.013,397996,0.581,0.441,0,43.9,Male,Punjab,50.76
PK-01669,40,Self-Employed,75786,Good Repayment History,1,0.303,412967,0.544,0.633,1,45.9,Female,Khyber Pakhtunkhwa,63.65
PK-01670,31,Self-Employed,77165,No Previous Loan,0,0.01,476252,0.722,0.778,24,72.5,Female,Punjab,79.53
PK-01671,37,Self-Employed,60400,Good Repayment History,1,0.093,406979,0.342,0.341,1,80.4,Male,Sindh,76.86
PK-01672,23,Freelancer,36695,No Previous Loan,0,0.025,445460,0.737,0.563,0,54.9,Male,Punjab,66.28
PK-01673,39,Business Owner,93304,No Previous Loan,0,0.01,544957,0.576,0.292,1,31.9,Male,Punjab,81.78
PK-01674,42,Daily Wage Worker,28250,Good Repayment History,1,0.329,250491,0.511,0.591,3,59.5,Male,Khyber Pakhtunkhwa,59.36
PK-01675,36,Self-Employed,80647,Good Repayment History,1,0.273,736264,0.679,0.329,0,48.1,Female,Punjab,67.04
PK-01676,22,Business Owner,68908,No Previous Loan,0,0.01,513112,0.424,0.689,8,63.9,Male,Punjab,73.11
PK-01677,47,Daily Wage Worker,73353,No Previous Loan,0,0.232,399717,0.511,0.426,2,63.1,Female,Punjab,67.78
PK-01678,41,Daily Wage Worker,50409,Delayed Repayment History,2,0.209,672303,0.642,0.473,2,28.0,Female,Punjab,30.67
PK-01679,31,Daily Wage Worker,40845,No Previous Loan,0,0.383,607662,0.486,0.587,3,50.4,Male,Sindh,19.16
PK-01680,35,Self-Employed,63969,Delayed Repayment History,2,0.294,615601,0.631,0.746,7,67.6,Female,Sindh,60.57
PK-01681,24,Other,25332,Good Repayment History,1,0.15,398009,0.561,0.583,2,53.3,Male,Khyber Pakhtunkhwa,45.36
PK-01682,28,Daily Wage Worker,40294,No Previous Loan,0,0.162,335849,0.486,0.698,8,39.4,Male,Punjab,45.88
PK-01683,33,Daily Wage Worker,40682,No Previous Loan,0,0.038,590970,0.534,0.373,0,66.6,Male,Punjab,67.2
PK-01684,49,Freelancer,74280,Delayed Repayment History,2,0.172,443526,0.518,0.537,1,32.8,Male,Balochistan,48.19
PK-01685,32,Other,49833,Delayed Repayment History,2,0.28,283231,0.709,0.87,21,60.8,Male,Punjab,58.81
PK-01686,44,Self-Employed,116863,Delayed Repayment History,2,0.291,508118,0.575,0.745,2,51.9,Female,Khyber Pakhtunkhwa,54.51
PK-01687,33,Daily Wage Worker,39762,No Previous Loan,0,0.01,326378,0.454,0.614,8,63.1,Male,Sindh,69.92
PK-01688,40,Freelancer,57571,Good Repayment History,1,0.102,395617,0.559,0.675,0,54.2,Male,Punjab,66.05
PK-01689,36,Freelancer,31601,Good Repayment History,1,0.378,523690,0.639,0.569,0,63.1,Female,Balochistan,30.64
PK-01690,46,Daily Wage Worker,38780,No Previous Loan,0,0.117,623630,0.764,0.617,2,77.4,Female,Punjab,50.44
PK-01691,33,Salaried,44751,No Previous Loan,0,0.01,405207,0.777,0.828,6,67.5,Male,Sindh,89.27
